,processed,planned
2018-11-18,958841.3326720212,1000294.2839035172
2018-11-19,927873.797841018,1002405.7225927201
2018-11-20,930646.8311134963,1001908.1335344175
2018-11-21,985246.4463509263,1007554.9282148274
2018-11-22,1030943.2241025235,1007451.4296674589
2018-11-23,969453.353781086,978676.4879118435
2018-11-24,924570.9589961355,973308.8118045114
2018-11-25,907887.9475140701,1003144.3289878053
2018-11-26,965100.2674633184,1001140.9158429587
2018-11-27,984622.8839689754,1004959.8994736265
2018-11-28,977453.770571527,1000366.4064355764
2018-11-29,910286.8550062032,922849.4096765692
2018-11-30,861923.3830790478,887425.8592247322
2018-12-01,957854.0357769585,990865.5546218691
2018-12-02,941997.9856328976,992497.7627062808
2018-12-03,961360.4077488593,1008084.5288065834
2018-12-04,847494.0233566709,1005313.1965729954
2018-12-05,844268.9434311674,941497.3684061583
2018-12-06,807384.1955604649,913803.774976792
2018-12-07,913967.0687382724,940313.5934987816
2018-12-08,958900.6600629557,1008097.4102217692
2018-12-09,939777.4835759293,1009675.9602159377
2018-12-10,970411.0148041828,1005088.8873318569
2018-12-11,870761.976577022,983304.322960573
2018-12-12,861900.8347125013,945236.4529935966
2018-12-13,962006.7748908731,1004084.0962770061
2018-12-14,913380.2043358813,1016089.2587702161
2018-12-15,1013004.2221749158,1019281.4379090992
2018-12-16,1025359.2995201037,1015067.381738059
2018-12-17,1014235.8937135017,1017416.1840706074
2018-12-18,1002364.3654615645,1019760.493054798
2018-12-19,943903.6860862786,1023912.4143831664
2018-12-20,1019155.7096786553,1022436.3653135371
2018-12-21,977716.9511972317,999388.1522866904
2018-12-22,1012090.3964676441,1005538.518479181
2018-12-23,960899.6850512947,1000177.4311707399
2018-12-24,964751.2830001165,973951.501314346
2018-12-25,945099.6161165363,966610.8000919085
2018-12-26,895292.004397249,992449.2338207028
2018-12-27,945059.5504291807,1011949.3130686908
2018-12-28,939221.4203396253,983392.0743109003
2018-12-29,920013.1777282688,974735.1631599886
2018-12-30,896387.893523947,975891.0991662053
2018-12-31,932781.6795206541,999556.2613674798
2019-01-01,969475.2633523346,1013307.3098240708
2019-01-02,959390.8065786907,1013678.3074971047
2019-01-03,919708.6445527517,1014008.3037435914
2019-01-04,934348.6440844818,982426.1816252904
2019-01-05,964808.3306531064,1003490.2324840302
2019-01-06,949467.9225028334,1003471.8303961152
2019-01-07,924189.1787329912,1001430.1614747375
2019-01-08,901124.8643798791,1003713.6341399313
2019-01-09,937350.8913005698,1006945.3588937353
2019-01-10,957436.4064381454,1001867.0389346416
2019-01-11,964190.9185875813,1001633.3120816103
2019-01-12,1006674.5804081126,1001077.7396691132
2019-01-13,960817.3376788198,999822.6131688801
2019-01-14,842415.3917534818,972964.5002162543
2019-01-15,749162.9820203944,783698.2455258752
2019-01-16,701048.9497560909,728814.1795983615
2019-01-17,925078.0265462769,945875.4273771077
2019-01-18,970836.4643145729,989642.6627893011
2019-01-19,975120.7574353181,983486.4604739262
2019-01-20,895382.1527846456,989525.1117371013
2019-01-21,882099.0156291047,1012989.8471961424
2019-01-22,989141.3021822416,1012944.1024987339
2019-01-23,949828.2980257467,1013604.0036738401
2019-01-24,923865.706177919,1014274.498281362
2019-01-25,921635.2752914822,1015699.6336531844
2019-01-26,881724.488613986,1014369.908402921
2019-01-27,909221.26154342,1019366.8944725638
2019-01-28,907932.2070900874,999941.365100959
2019-01-29,865429.0854827332,1004537.3842142323
2019-01-30,805988.8017183965,971038.1780964158
2019-01-31,846236.7926233467,970524.0233877678
2019-02-01,892015.7055753301,968836.8362552843
2019-02-02,925264.7726495692,1008158.6441841873
2019-02-03,930686.5292552089,1003142.96762526
2019-02-04,956515.2291064176,1011876.4378664242
2019-02-05,961088.0052318342,976329.1042200866
2019-02-06,853921.061088801,874764.7278488526
2019-02-07,968616.9403205964,1006494.4398180785
2019-02-08,1008776.7020925699,1001189.5176299126
2019-02-09,996309.0692762112,1000726.4753870915
2019-02-10,829414.9366260896,1002403.5128453565
2019-02-11,894201.3145645402,1006103.435196393
2019-02-12,896725.6858994043,1009959.6212598574
2019-02-13,955371.5031967099,1012732.6172406998
2019-02-14,970742.4564830356,1008225.7579931208
2019-02-15,942270.1151165628,953329.164848206
2019-02-16,939536.7706502834,1008384.0572683447
2019-02-17,934129.3091465102,1010141.7636341843
2019-02-18,980865.9150914993,1004473.9681653777
2019-02-19,952912.0710548084,1005932.4324222282
2019-02-20,950351.1291889577,969431.4937141443
2019-02-21,992862.1703047032,1004567.9052198085
2019-02-22,937299.3335400014,940335.6571199283
2019-02-23,986905.8219821313,1004932.6086996312
2019-02-24,827224.3266779103,982486.8566062847
2019-02-25,892860.3901022745,976182.7167342788
2019-02-26,902738.3690342872,967214.2653199463
2019-02-27,936990.9119634712,989302.2665278428
2019-02-28,874821.7181643288,937140.7765893647
2019-03-01,892328.7399540396,980707.8783469513
2019-03-02,873057.224684323,986267.5948610208
2019-03-03,762323.409728252,976823.2547320825
2019-03-04,838331.7449424887,999347.8756615521
2019-03-05,894333.4813069615,994499.9856833564
2019-03-06,869276.8297178312,969975.2616963459
2019-03-07,801259.1375472313,831186.0014880674
2019-03-08,910304.0486251687,993985.1195762638
2019-03-09,885485.455940573,1010255.7967309719
2019-03-10,869486.9152857607,995367.0315869587
2019-03-11,835028.2872784672,971943.4330236367
2019-03-12,847186.1153523598,930648.620328069
2019-03-13,849732.0573447278,930251.7477993481
2019-03-14,830182.7884039457,928661.3133677085
2019-03-15,785663.3000102935,826836.9989967337
2019-03-16,727315.4468005057,748084.5882286169
2019-03-17,727204.0420687104,742354.3266857867
2019-03-18,758034.0209790677,794772.8382623781
2019-03-19,838448.287511076,790319.5755640407
2019-03-20,828248.1223878213,875405.7808905998
2019-03-21,873355.3137325679,878229.6406689242
2019-03-22,837140.6300115525,877625.1344245578
2019-03-23,835398.7518220278,878028.9392397976
2019-03-24,791474.9481501419,879832.7310298154
2019-03-25,819302.6242053299,883466.6593266428
2019-03-26,859527.1741930273,882816.6176949117
2019-03-27,778291.4456409959,874502.1763093631
2019-03-28,873177.0871261825,914865.2604172846
2019-03-29,844467.659891177,914824.2068332415
2019-03-30,815585.8005668971,914603.9461557734
2019-03-31,838914.8108842443,909300.2200341058
2019-04-01,858644.4449648687,909578.1862351951
2019-04-02,811550.0126023744,911549.4276305576
2019-04-03,937018.5036636165,958677.385134734
2019-04-04,983014.6238947891,975825.8406699108
